"1,Ph?n c?a ???ng b? ???c s? d?ng cho các ph??ng ti?n giao thông qua l?i là gì?,,KNQTGT,,,,Ph?n m?t ???ng và l? ???ng.,Ph?n ???ng xe ch?y.,Ph?n ???ng xe c? gi?i.,,2,"																																
"2,“Làn ???ng” là gì?,,KNQTGT,,,,""Là m?t ph?n c?a ph?n ???ng xe ch?y ???c chia theo chi?u d?c c?a ???ng, s? d?ng cho xe ch?y."",""Là m?t ph?n c?a ph?n ???ng xe ch?y ???c chia theo chi?u d?c c?a ???ng, có b? r?ng ?? cho xe ch?y an toàn."",""Là m?t ph?n c?a ph?n ???ng xe ch?y ???c chia theo chi?u d?c c?a ???ng, có ?? b? r?ng cho xe ô tô ch?y an toàn."",,2,"																																
"23,""S? d?ng r??u, bia khi lái xe, n?u b? phát hi?n thì b? x? lý nh? th? nào?"",,KNQTGT,,,1,Ch? b? nh?c nh?.,B? x? ph?t hành chính ho?c có th? b? x? lý hình s? tùy theo m?c ?? vi ph?m.,Không b? x? lý hình s?.,,2,"																																
"24,""Theo Lu?t phòng ch?ng tác h?i c?a r??u, bia, ??i t??ng nào d??i ?ây b? c?m s? d?ng r??u, bia khi tham gia giao thông?"",,KNQTGT,,,1,""Ng??i ?i?u khi?n: Xe ô tô, xe mô tô, xe ??p, xe g?n máy."",Ng??i ng?i phía sau ng??i ?i?u khi?n xe c? gi?i.,Ng??i ?i b?.,C? ý 1 và ý 2.,1,"																																
"25,""Hành vi giao xe c? gi?i, xe máy chuyên dùng cho ng??i không ?? ?i?u ki?n ?? ?i?u khi?n xe tham gia giao thông có ???c phép hay không?"",,KNQTGT,,,1,Ch? ???c th?c hi?n n?u ?ã h??ng d?n ??y ??.,Không ???c phép.,???c phép tùy t?ng tr??ng h?p.,Ch? ???c phép th?c hi?n v?i thành viên trong gia ?ình.,2,"																																
"26,""Hành vi ?i?u khi?n xe c? gi?i ch?y quá t?c ?? quy ??nh, giành ???ng, v??t ?u có b? nghiêm c?m hay không?"",,KNQTGT,,,1,B? nghiêm c?m tùy t?ng tr??ng h?p.,Không b? nghiêm c?m.,B? nghiêm c?m.,,3,"																																
"27,""Khi lái xe trên ???ng, ng??i lái xe c?n quan sát và b?o ??m t?c ?? ph??ng ti?n nh? th? nào?"",,KNQTGT,,,1,Ch? l?n h?n t?c ?? t?i ?a cho phép khi ???ng v?ng.,Ch? l?n h?n t?c ?? t?i ?a cho phép vào ban ?êm.,Không v??t quá t?c ?? cho phép.,,3,"																																
"28,Ph??ng ti?n giao thông ???ng b? di chuy?n v?i t?c ?? th?p h?n ph?i ?i nh? th? nào?,,KNQTGT,,,1,?i v? phía bên trái.,?i v? phía bên ph?i.,?i ? gi?a.,,2,"																																
"29,""Trên ???ng có nhi?u làn ???ng, khi ?i?u khi?n ph??ng ti?n ? t?c ?? ch?m b?n ph?i ?i ? làn ???ng nào?"",,KNQTGT,,,1,?i ? làn bên ph?i trong cùng.,?i ? làn phía bên trái.,?i ? làn gi?a.,?i ? b?t c? làn nào nh?ng ph?i b?m ?èn c?nh báo nguy hi?m ?? báo hi?u cho các ph??ng ti?n khác.,1,"																																
"30,""Hành vi v??t xe t?i các v? trí có t?m nhìn h?n ch?, ???ng vòng, ??u d?c có b? nghiêm c?m hay không?"",,KNQTGT,,,1,Không b? nghiêm c?m.,Không b? nghiêm c?m khi r?t v?i.,B? nghiêm c?m.,Không b? nghiêm c?m khi kh?n c?p.,3,"																																
"31,""Khi lái xe trong khu ?ô th? và ?ông dân c? tr? các khu v?c có bi?n c?m s? d?ng còi, ng??i lái xe ???c s? d?ng còi nh? th? nào trong các tr??ng h?p d??i ?ây?"",,KNQTGT,,,,T? 22 gi? ?êm ??n 5 gi? sáng.,T? 5 gi? sáng ??n 22 gi? t?i.,T? 23 gi? ?êm ??n 5 gi? sáng hôm sau.,,2,"																																
"32,Ng??i lái xe s? d?ng ?èn nh? th? nào khi lái xe trong khu ?ô th? và ?ông dân c? vào ban ?êm?,,KNQTGT,,,,B?t c? ?èn nào mi?n là m?t nhìn rõ phía tr??c.,Ch? b?t ?èn chi?u xa (?èn pha) khi không nhìn rõ ???ng.,""?èn chi?u xa (?èn pha) khi ???ng v?ng, ?èn pha chi?u g?n (?èn c?t) khi có xe ?i ng??c chi?u."",?èn chi?u g?n (?èn c?t).,2,"																																
"33,""Hành vi l?p ??t, s? d?ng còi, ?èn không ?úng thi?t k? c?a nhà s?n xu?t ??i v?i t?ng lo?i xe c? gi?i có ???c phép hay không?"",,KNQTGT,,,1,???c phép.,Không ???c phép.,???c phép tùy t?ng tr??ng h?p.,,,"																																
"34,""Trong tr??ng h?p ??c bi?t, ?? ???c l?p ??t, s? d?ng còi, ?èn khác thi?t k? c?a nhà s?n xu?t ??i v?i t?ng lo?i xe c? gi?i b?n ph?i ??m b?o yêu c?u nào d??i ?ây?"",,KNQTGT,,,,Ph?i ??m b?o ph? tùng do ?úng nhà s?n xu?t ?ó cung c?p.,Ph?i ???c ch?p thu?n c?a c? quan có th?m quy?n.,Ph?i là xe ??ng ký và ho?t ??ng t?i các khu v?c có ??a hình ph?c t?p.,,2,"																																
"35,""Vi?c s?n xu?t, mua bán, s? d?ng bi?n s? xe c? gi?i, xe máy chuyên dùng ???c quy ??nh nh? th? nào trong Lu?t Giao thông ???ng b??"",,KNQTGT,,,1,""???c phép s?n xu?t, s? d?ng khi b? m?t bi?n s?."",""???c phép mua bán, s? d?ng khi b? m?t bi?n s?."",""Nghiêm c?m s?n xu?t, mua bán, s? d?ng trái phép."",,3,"																																
"36,Ng??i lái xe không ???c v??t xe khác khi g?p tr??ng h?p nào ghi ? d??i ?ây?,,KNQTGT,,,1,""Trên c?u h?p có m?t làn xe. N?i ???ng giao nhau, ???ng b? giao nhau cùng m?c v?i ???ng s?t; xe ???c quy?n ?u tiên ?ang phát tín hi?u ?u tiên ?i làm nhi?m v?."",Trên c?u có t? 02 làn xe tr? lên; n?i ???ng b? giao nhau không cùng m?c v?i ???ng s?t; xe ???c quy?n ?u"	tiên ?	ang ?i phía tr??c nh?ng không phát tín hi?u ?	u	tiên	".,T"	rê	n ?	??ng c	ó 2 làn	???n	g ??	?c	p	hâ	n c	hia l	àn b?	ng v?	ch	k? n	ét	??	"t.,,1"	","								
"37,""? ph?n ???ng dành cho ng??i ?i b? qua ???ng, trên c?u, ??u c?u, ???ng cao t?c, ???ng h?p, ???ng d?c, t?i n?i ???ng b? giao nhau cùng m?c v?i ???ng s?t có ???c quay ??u xe hay không?"",,KNQTGT,,,1,???c phép.,Không ???c phép.,Tùy t?ng tr??ng h?p.,,2,"																																
"38,B?n ?ang lái xe phía tr??c có m?t xe c?nh sát giao thông không phát tín hi?u ?u tiên b?n có ???c phép v??t hay không?,,KNQTGT,,,,Không ???c v??t.,???c v??t khi ?ang ?i trên c?u.,???c phép v??t khi ?i qua n?i giao nhau có ít ph??ng ti?n cùng tham gia giao thông.,???c v??t khi ??m b?o an toàn.,4,"																																
"39,B?n ?ang lái xe phía tr??c có m?t xe c?u th??ng ?ang phát tín hi?u ?u tiên b?n có ???c phép v??t hay không?,,KNQTGT,,,,Không ???c v??t.,???c v??t khi ?ang ?i trên c?u.,???c phép v??t khi ?i qua n?i giao nhau có ít ph??ng ti?n cùng tham gia giao thông.,???c v??t khi ??m b?o an toàn.,1,"																																
"40,Ng??i lái xe không ???c quay ??u xe trong các tr??ng h?p nào d??i ?ây?,,KNQTGT,,,,""? ph?n ???ng dành cho ng??i ?i b? qua ???ng, trên c?u, ??u c?u, ???ng cao t?c, ???ng h?p, ???ng d?c, t?i n?i ???ng b? giao nhau cùng m?c v?i ???ng s?t."",""? phía tr??c ho?c phía sau c?a ph?n ???ng dành cho ng??i ?i b? qua ???ng, trên ???ng qu?c l?, t?i n?i ???ng b? gia"	o nhau	"không cùng m?c v?i ???ng s?t."",C? ý 1 và ý 2."	",,"	"1,"																												
"41,""B?n ?ang lái xe trong khu dân c?, có ?ông xe qua l?i, n?u mu?n quay ??u xe b?n c?n làm gì ?? tránh ùn t?c và ??m b?o an toàn giao thông?"",,KNQTGT,,,,?i ti?p ??n ?i?m giao c?t g?n nh?t ho?c n?i có bi?n báo cho phép quay ??u xe.,B?m ?èn kh?n c?p và quay ??u xe t? t? b?o ??m an toàn.,B?m còi liên t?c khi quay ??u xe ?? c?nh báo các xe khác.,Nh? m?t ng"	??i ra	hi?u giao thông trên ???ng ch?m l?i tr??c khi	q	uay	??u	".,"	"1,"																									
"42,Ng??i lái xe không ???c lùi xe ? nh?ng khu v?c nào d??i ?ây?,,KNQTGT,,,,? khu v?c cho phép ?? xe.,? khu v?c c?m d?ng và trên ph?n ???ng dành cho ng??i ?i b? qua ???ng.,""N?i ???ng b? giao nhau, ???ng b? giao nhau cùng m?c v?i ???ng s?t, n?i t?m nhìn b? che khu?t, trong h?m ???ng b?, ???ng cao t?c."",C? ý 2 và ý 3.,4,"																																
"43,""Ng??i ?i?u khi?n ph??ng ti?n giao thông trên ???ng ph? có ???c d?ng xe, ?? xe trên mi?ng c?ng thoát n??c, mi?ng h?m c?a ???ng ?i?n tho?i, ?i?n cao th?, ch? dành riêng cho xe ch?a cháy l?y n??c hay không?"",,KNQTGT,,,1,""???c d?ng xe, ?? xe trong tr??ng h?p c?n thi?t."",""Không ???c d?ng xe, ?? xe."",""???c d?ng xe, không ???c ?? xe."",,2,"																																
"44,""Khi xe ?ã kéo 1 xe ho?c xe ?ã kéo 1 r? moóc, b?n có ???c phép kéo thêm xe (k? c? xe thô s?) ho?c r? moóc th? hai hay không?"",,KNQTGT,,,,Ch? ???c th?c hi?n trên ???ng qu?c l? có hai làn xe m?t chi?u.,Ch? ???c th?c hi?n trên ???ng cao t?c.,Không ???c th?c hi?n vào ban ngày.,Không ???c phép.,4,"																																
"45,""Ng??i ?i?u khi?n xe mô tô hai bánh, ba bánh, xe g?n máy có ???c phép s? d?ng xe ?? kéo ho?c ??y các ph??ng ti?n khác khi tham gia giao thông không?"",,KNQTGT,,,1,???c phép.,""N?u ph??ng ti?n ???c kéo, ??y có kh?i l??ng nh? h?n ph??ng ti?n c?a mình."",Tùy tr??ng h?p.,Không ???c phép.,4,"																																
"46,""Khi ?i?u khi?n xe mô tô hai bánh, xe mô tô ba bánh, xe g?n máy, nh?ng hành vi buông c? hai tay; s? d?ng xe ?? kéo, ??y xe khác, v?t khác; s? d?ng chân ch?ng c?a xe qu?t xu?ng ???ng khi xe ?ang ch?y có ???c phép hay không?"",,KNQTGT,,,1,???c phép.,Tùy tr??ng h?p.,Không ???c phép.,,3,"																																
"47,""Khi ?i?u khi?n xe mô tô hai bánh, xe mô tô ba bánh, xe g?n máy, nh?ng hành vi nào không ???c phép?"",,KNQTGT,,,1,""Buông c? hai tay; s? d?ng xe ?? kéo, ??y xe khác, v?t khác; s? d?ng chân ch?ng c?a xe qu?t xu?ng ???ng khi xe ?ang ch?y."",Buông m?t tay; s? d?ng xe ?? ch? ng??i ho?c hàng hoá; ?? chân ch?m xu?ng ??t khi kh?i hành.,??i m? b?o hi?m; ch?y x"	e ?úng	t?c ?? quy ??nh và ch?p hành ?úng quy t?c gia	o	thôn	g ?	??	ng	"b?.,Ch"	? ng??i	ng?i	sau	d	??	i	16	tu?i.	",1,"															
"48,""Ng??i ng?i trên xe mô tô hai bánh, ba bánh, xe g?n máy khi tham gia giao thông có ???c mang, vác v?t c?ng k?nh hay không?"",,KNQTGT,,,1,""???c mang, vác tùy tr??ng h?p c? th?."",""Không ???c mang, vác."",""???c mang, vác nh?ng ph?i ??m b?o an toàn."",???c mang vác tùy theo s?c kh?e c?a b?n thân.,2,"																																
"49,""Ng??i ng?i trên xe mô tô hai bánh, xe mô tô ba bánh, xe g?n máy khi tham gia giao thông có ???c bám, kéo ho?c ??y các ph??ng ti?n khác không?"",,KNQTGT,,,1,???c phép.,???c bám trong tr??ng h?p ph??ng ti?n c?a mình b? h?ng.,""???c kéo, ??y trong tr??ng h?p ph??ng ti?n khác b? h?ng."",Không ???c phép.,4,"																																
"50,""Ng??i ng?i trên xe mô tô hai bánh, xe mô tô ba bánh, xe g?n máy khi tham gia giao thông có ???c s? d?ng ô khi tr?i m?a hay không?"",,KNQTGT,,,1,???c s? d?ng.,Ch? ng??i ng?i sau ???c s? d?ng.,Không ???c s? d?ng.,???c s? d?ng n?u không có áo m?a.,3,"																																
"51,Khi ?ang lên d?c ng??i ng?i trên xe mô tô có ???c phép kéo theo ng??i ?ang ?i?u khi?n xe ??p hay không?,,KNQTGT,,,1,Ch? ???c phép n?u c? hai ??i m? b?o hi?m.,Không ???c phép.,Ch? ???c phép th?c hi?n trên ???ng th?t v?ng.,Ch? ???c phép khi ng??i ?i xe ??p ?ã quá m?t.,2,"																																
"52,""Hành vi s? d?ng xe mô tô ?? kéo, ??y xe mô tô khác b? h?t x?ng ??n tr?m mua x?ng có ???c phép hay không?"",,KNQTGT,,,1,Ch? ???c kéo n?u ?ã nhìn th?y tr?m x?ng.,Ch? ???c th?c hi?n trên ???ng v?ng ph??ng ti?n cùng tham gia giao thông.,Không ???c phép.,,3,"																																
"53,""Hành vi v?n chuy?n ?? v?t c?ng k?nh b?ng xe mô tô, xe g?n máy khi tham gia giao thông có ???c phép hay không?"",,KNQTGT,,,1,Không ???c v?n chuy?n.,Ch? ???c v?n chuy?n khi ?ã ch?ng bu?c c?n th?n.,Ch? ???c v?n chuy?n v?t c?ng k?nh trên xe máy n?u kho?ng cách v? nhà ng?n h?n 2 km.,,1,"																																
"54,""Ng??i ?? bao nhiêu tu?i tr? lên thì ???c ?i?u khi?n xe ô tô t?i, máy kéo có tr?ng t?i t? 3.500 kg tr? lên; xe h?ng B2 kéo r? moóc (FB2)?"",,KNQTGT,,,,19 tu?i.,21 tu?i.,20 tu?i.,,2,"																																
"55,""Ng??i ?? bao nhiêu tu?i tr? lên thì ???c ?i?u khi?n xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi lanh t? 50 cm3 tr? lên và các lo?i xe có k?t c?u t??ng t?; xe ô tô t?i, máy kéo có tr?ng t?i d??i 3.500 kg; xe ô tô ch? ng??i ??n 9 ch? ng?i?"",,KNQTGT,,,,16 tu?i.,18 tu?i.,17 tu?i.,,2,"																																
"56,""Ng??i lái xe ô tô ch? ng??i trên 30 ch? ng?i (h?ng E), lái xe h?ng D kéo r? moóc (FD) ph?i ?? bao nhiêu tu?i tr? lên?"",,KNQTGT,,,,23 tu?i.,24 tu?i.,27 tu?i.,30 tu?i.,3,"																																
"57,Tu?i t?i ?a c?a ng??i lái xe ô tô ch? ng??i trên 30 ch? ng?i (h?ng E) là bao nhiêu tu?i?,,KNQTGT,,,,55 tu?i ??i v?i nam và 50 tu?i ??i v?i n?.,55 tu?i ??i v?i nam và n?.,60 tu?i ??i v?i nam và 55 tu?i ??i v?i n?.,45 tu?i ??i v?i nam và 40 tu?i ??i v?i n?.,1,"																																
"58,""Ng??i lái xe ch? ng??i t? 10 ??n 30 ch? ng?i (h?ng D), lái xe h?ng C kéo r? moóc (FC) ph?i ?? bao nhiêu tu?i tr? lên?"",,KNQTGT,,,,23 tu?i.,24 tu?i.,22 tu?i.,18 tu?i.,2,"																																
"59,Ng??i ?? 16 tu?i ???c ?i?u khi?n các lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô 2 bánh có dung tích xi-lanh t? 50 cm3 tr? lên.,Xe g?n máy có dung tích xi-lanh d??i 50 cm3.,Xe ô tô t?i d??i 3.500 kg; xe ch? ng??i ??n 9 ch? ng?i.,T?t c? các ý nêu trên.,2,"																																
"60,Ng??i có gi?y phép lái xe mô tô h?ng A1 không ???c phép ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô có dung tích xi-lanh 125 cm3.,Xe mô tô có dung tích xi-lanh t? 175 cm3 tr? lên.,Xe mô tô có dung tích xi-lanh 100 cm3.,,2,"																																
"61,Ng??i có gi?y phép lái xe mô tô h?ng A1 ???c phép ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô có dung tích xi-lanh t? 50 cm3 ??n d??i 175 cm3.,Xe mô tô ba bánh dành cho ng??i khuy?t t?t.,C? ý 1 và ý 2.,,3,"																																
"62,Ng??i có gi?y phép lái xe mô tô h?ng A2 ???c phép ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô ba bánh.,Xe mô tô hai bánh có dung tích xi lanh t? 175 cm3 tr? lên và các lo?i xe quy ??nh cho gi?y phép lái xe h?ng A1.,Các lo?i máy kéo nh? có tr?ng t?i ??n 1.000 kg.,,2,"																																
"63,Ng??i có gi?y phép lái xe mô tô h?ng A3 ???c phép ?i?u khi?n lo?i xe nào d??i ?ây?,,KNQTGT,,,,Xe mô tô ba bánh.,Xe mô tô hai bánh có dung tích xi lanh t? 175 cm3 tr? lên.,Các lo?i máy kéo nh? có tr?ng t?i ??n 1.000 kg.,,1,"																																
